operation, contention, seconds, nanoseconds, bytes, iterations
write, 0, 0, 130993, 131072, 8192
write, 0, 0, 129703, 131072, 8192
write, 0, 0, 129743, 131072, 8192
write, 0, 0, 129713, 131072, 8192
write, 0, 0, 129683, 131072, 8192
write, 0, 0, 129683, 131072, 8192
write, 0, 0, 129673, 131072, 8192
write, 0, 0, 141104, 131072, 8192
write, 0, 0, 129673, 131072, 8192
write, 0, 0, 129703, 131072, 8192
write, 0, 0, 129693, 131072, 8192
write, 0, 0, 129703, 131072, 8192
write, 0, 0, 129653, 131072, 8192
write, 0, 0, 129673, 131072, 8192
write, 0, 0, 129683, 131072, 8192
write, 0, 0, 129683, 131072, 8192
write, 0, 0, 129673, 131072, 8192
write, 0, 0, 129653, 131072, 8192
write, 0, 0, 129693, 131072, 8192
write, 0, 0, 129683, 131072, 8192
write, 0, 0, 129653, 131072, 8192
write, 0, 0, 129713, 131072, 8192
write, 0, 0, 129653, 131072, 8192
write, 0, 0, 129743, 131072, 8192
write, 0, 0, 129693, 131072, 8192
write, 0, 0, 129713, 131072, 8192
write, 0, 0, 129663, 131072, 8192
write, 0, 0, 129733, 131072, 8192
write, 0, 0, 129673, 131072, 8192
write, 0, 0, 129723, 131072, 8192
write, 0, 0, 129693, 131072, 8192
write, 0, 0, 129673, 131072, 8192
write, 0, 0, 129683, 131072, 8192
write, 0, 0, 129673, 131072, 8192
write, 0, 0, 129753, 131072, 8192
write, 0, 0, 129723, 131072, 8192
write, 0, 0, 129693, 131072, 8192
write, 0, 0, 135424, 131072, 8192
write, 0, 0, 129673, 131072, 8192
write, 0, 0, 129723, 131072, 8192
write, 0, 0, 129683, 131072, 8192
write, 0, 0, 129673, 131072, 8192
write, 0, 0, 129673, 131072, 8192
write, 0, 0, 129693, 131072, 8192
write, 0, 0, 129683, 131072, 8192
write, 0, 0, 129663, 131072, 8192
write, 0, 0, 129763, 131072, 8192
write, 0, 0, 129683, 131072, 8192
write, 0, 0, 129683, 131072, 8192
write, 0, 0, 129663, 131072, 8192
write, 0, 0, 129653, 131072, 8192
write, 0, 0, 129693, 131072, 8192
write, 0, 0, 129653, 131072, 8192
write, 0, 0, 129693, 131072, 8192
write, 0, 0, 129683, 131072, 8192
write, 0, 0, 129743, 131072, 8192
write, 0, 0, 129703, 131072, 8192
write, 0, 0, 129663, 131072, 8192
write, 0, 0, 129693, 131072, 8192
write, 0, 0, 129683, 131072, 8192
write, 0, 0, 129703, 131072, 8192
write, 0, 0, 129653, 131072, 8192
write, 0, 0, 129653, 131072, 8192
write, 0, 0, 129673, 131072, 8192
write, 0, 0, 129653, 131072, 8192
write, 0, 0, 129673, 131072, 8192
write, 0, 0, 129713, 131072, 8192
write, 0, 0, 136094, 131072, 8192
write, 0, 0, 129793, 131072, 8192
write, 0, 0, 129673, 131072, 8192
write, 0, 0, 129663, 131072, 8192
write, 0, 0, 129663, 131072, 8192
write, 0, 0, 129743, 131072, 8192
write, 0, 0, 129683, 131072, 8192
write, 0, 0, 129693, 131072, 8192
write, 0, 0, 129643, 131072, 8192
write, 0, 0, 129713, 131072, 8192
write, 0, 0, 129683, 131072, 8192
write, 0, 0, 129703, 131072, 8192
write, 0, 0, 129673, 131072, 8192
write, 0, 0, 129693, 131072, 8192
write, 0, 0, 129713, 131072, 8192
write, 0, 0, 129683, 131072, 8192
write, 0, 0, 129673, 131072, 8192
write, 0, 0, 129653, 131072, 8192
write, 0, 0, 129643, 131072, 8192
write, 0, 0, 129683, 131072, 8192
write, 0, 0, 129683, 131072, 8192
write, 0, 0, 129693, 131072, 8192
write, 0, 0, 129723, 131072, 8192
write, 0, 0, 129683, 131072, 8192
write, 0, 0, 129673, 131072, 8192
write, 0, 0, 129663, 131072, 8192
write, 0, 0, 129693, 131072, 8192
write, 0, 0, 129703, 131072, 8192
write, 0, 0, 129693, 131072, 8192
write, 0, 0, 129713, 131072, 8192
write, 0, 0, 129653, 131072, 8192
write, 0, 0, 134254, 131072, 8192
write, 0, 0, 129683, 131072, 8192
write, 1, 0, 259566, 131072, 8192
write, 1, 0, 258846, 131072, 8192
write, 1, 0, 260256, 131072, 8192
write, 1, 0, 258116, 131072, 8192
write, 1, 0, 258136, 131072, 8192
write, 1, 0, 259695, 131072, 8192
write, 1, 0, 258956, 131072, 8192
write, 1, 0, 252995, 131072, 8192
write, 1, 0, 258956, 131072, 8192
write, 1, 0, 258306, 131072, 8192
write, 1, 0, 259395, 131072, 8192
write, 1, 0, 261826, 131072, 8192
write, 1, 0, 260186, 131072, 8192
write, 1, 0, 261486, 131072, 8192
write, 1, 0, 257055, 131072, 8192
write, 1, 0, 260576, 131072, 8192
write, 1, 0, 260536, 131072, 8192
write, 1, 0, 260616, 131072, 8192
write, 1, 0, 257376, 131072, 8192
write, 1, 0, 259996, 131072, 8192
write, 1, 0, 259536, 131072, 8192
write, 1, 0, 259366, 131072, 8192
write, 1, 0, 259686, 131072, 8192
write, 1, 0, 265097, 131072, 8192
write, 1, 0, 260606, 131072, 8192
write, 1, 0, 257026, 131072, 8192
write, 1, 0, 259016, 131072, 8192
write, 1, 0, 260786, 131072, 8192
