operation, seconds, nanoseconds, bytes
read, 0, 127220672, 16777216, 255
read, 0, 127218331, 16777216, 255
read, 0, 127132743, 16777216, 255
read, 0, 127244284, 16777216, 255
read, 0, 127168076, 16777216, 255
read, 0, 127204400, 16777216, 255
read, 0, 127230343, 16777216, 255
read, 0, 127178468, 16777216, 255
read, 0, 127168866, 16777216, 255
read, 0, 127187428, 16777216, 255
read, 0, 127166446, 16777216, 255
read, 0, 127239983, 16777216, 255
read, 0, 127139164, 16777216, 255
read, 0, 127191928, 16777216, 255
read, 0, 127221222, 16777216, 255
read, 0, 127131172, 16777216, 255
read, 0, 127195229, 16777216, 255
read, 0, 127149894, 16777216, 255
read, 0, 127181058, 16777216, 255
read, 0, 127178717, 16777216, 255
read, 0, 127182408, 16777216, 255
read, 0, 127146955, 16777216, 255
read, 0, 127289699, 16777216, 255
read, 0, 127172106, 16777216, 255
read, 0, 127148535, 16777216, 255
read, 0, 127140094, 16777216, 255
read, 0, 127188358, 16777216, 255
read, 0, 127420841, 16777216, 255
read, 0, 127133923, 16777216, 255
read, 0, 127198059, 16777216, 255
read, 0, 127148595, 16777216, 255
read, 0, 127218311, 16777216, 255
read, 0, 127244874, 16777216, 255
read, 0, 127216851, 16777216, 255
read, 0, 127155965, 16777216, 255
read, 0, 127264846, 16777216, 255
read, 0, 127151174, 16777216, 255
read, 0, 127179497, 16777216, 255
read, 0, 127271907, 16777216, 255
read, 0, 127153465, 16777216, 255
read, 0, 127184878, 16777216, 255
read, 0, 127179688, 16777216, 255
read, 0, 127136063, 16777216, 255
read, 0, 127230233, 16777216, 255
read, 0, 127190768, 16777216, 255
read, 0, 127186138, 16777216, 255
read, 0, 127183818, 16777216, 255
read, 0, 127188858, 16777216, 255
read, 0, 127126032, 16777216, 255
read, 0, 127195799, 16777216, 255
read, 0, 127142184, 16777216, 255
read, 0, 127393728, 16777216, 255
read, 0, 127173457, 16777216, 255
read, 0, 127254965, 16777216, 255
read, 0, 127175207, 16777216, 255
read, 0, 127158185, 16777216, 255
read, 0, 127176927, 16777216, 255
read, 0, 127146364, 16777216, 255
read, 0, 127219461, 16777216, 255
read, 0, 127210471, 16777216, 255
read, 0, 127146434, 16777216, 255
read, 0, 127183217, 16777216, 255
read, 0, 127204180, 16777216, 255
read, 0, 127167166, 16777216, 255
read, 0, 127150995, 16777216, 255
read, 0, 127162566, 16777216, 255
read, 0, 127171857, 16777216, 255
read, 0, 127254175, 16777216, 255
read, 0, 127161116, 16777216, 255
read, 0, 127297609, 16777216, 255
read, 0, 127135083, 16777216, 255
read, 0, 127219181, 16777216, 255
read, 0, 127199489, 16777216, 255
read, 0, 127191589, 16777216, 255
read, 0, 127123672, 16777216, 255
read, 0, 127388928, 16777216, 255
read, 0, 127207830, 16777216, 255
read, 0, 127173387, 16777216, 255
read, 0, 127179037, 16777216, 255
read, 0, 127156305, 16777216, 255
read, 0, 127198809, 16777216, 255
read, 0, 127171617, 16777216, 255
read, 0, 127180157, 16777216, 255
read, 0, 127194769, 16777216, 255
read, 0, 127230353, 16777216, 255
read, 0, 127214431, 16777216, 255
read, 0, 127187449, 16777216, 255
read, 0, 127146625, 16777216, 255
read, 0, 127196960, 16777216, 255
read, 0, 127143374, 16777216, 255
read, 0, 127197389, 16777216, 255
read, 0, 127202040, 16777216, 255
read, 0, 127194029, 16777216, 255
read, 0, 127183567, 16777216, 255
read, 0, 127171897, 16777216, 255
read, 0, 127169336, 16777216, 255
read, 0, 127169657, 16777216, 255
read, 0, 127163476, 16777216, 255
read, 0, 127182408, 16777216, 255
read, 0, 127611270, 16777216, 255
