operation, seconds, nanoseconds, bytes
read, 0, 127382788, 16777216, 255
read, 0, 127203049, 16777216, 255
read, 0, 127149215, 16777216, 255
read, 0, 127296389, 16777216, 255
read, 0, 127161006, 16777216, 255
read, 0, 127213921, 16777216, 255
read, 0, 127184828, 16777216, 255
read, 0, 127226672, 16777216, 255
read, 0, 127204360, 16777216, 255
read, 0, 127188908, 16777216, 255
read, 0, 127204590, 16777216, 255
read, 0, 127399540, 16777216, 255
read, 0, 127366716, 16777216, 255
read, 0, 127196189, 16777216, 255
read, 0, 127181487, 16777216, 255
read, 0, 127182447, 16777216, 255
read, 0, 127331443, 16777216, 255
read, 0, 127217921, 16777216, 255
read, 0, 127170896, 16777216, 255
read, 0, 127324282, 16777216, 255
read, 0, 127154225, 16777216, 255
read, 0, 127235473, 16777216, 255
read, 0, 127156965, 16777216, 255
read, 0, 127188998, 16777216, 255
read, 0, 127170857, 16777216, 255
read, 0, 127202580, 16777216, 255
read, 0, 127149195, 16777216, 255
read, 0, 127267996, 16777216, 255
read, 0, 127158285, 16777216, 255
read, 0, 127208450, 16777216, 255
read, 0, 127241334, 16777216, 255
read, 0, 127177447, 16777216, 255
read, 0, 127267766, 16777216, 255
read, 0, 127178637, 16777216, 255
read, 0, 127220962, 16777216, 255
read, 0, 127526662, 16777216, 255
read, 0, 127207550, 16777216, 255
read, 0, 127192378, 16777216, 255
read, 0, 127193538, 16777216, 255
read, 0, 127238743, 16777216, 255
read, 0, 127164076, 16777216, 255
read, 0, 127199049, 16777216, 255
read, 0, 127170366, 16777216, 255
read, 0, 127318942, 16777216, 255
read, 0, 127155785, 16777216, 255
read, 0, 127228062, 16777216, 255
read, 0, 127188499, 16777216, 255
read, 0, 127208860, 16777216, 255
read, 0, 127289509, 16777216, 255
read, 0, 127207730, 16777216, 255
read, 0, 127163616, 16777216, 255
read, 0, 127298819, 16777216, 255
read, 0, 127192368, 16777216, 255
read, 0, 127199639, 16777216, 255
read, 0, 127167026, 16777216, 255
read, 0, 127178518, 16777216, 255
read, 0, 127196029, 16777216, 255
read, 0, 127154945, 16777216, 255
read, 0, 127226712, 16777216, 255
read, 0, 127571317, 16777216, 255
read, 0, 127171476, 16777216, 255
read, 0, 127217692, 16777216, 255
read, 0, 127200349, 16777216, 255
read, 0, 127279078, 16777216, 255
read, 0, 127222972, 16777216, 255
read, 0, 127203600, 16777216, 255
read, 0, 127190098, 16777216, 255
read, 0, 127225952, 16777216, 255
read, 0, 127191398, 16777216, 255
read, 0, 127168216, 16777216, 255
read, 0, 127227662, 16777216, 255
read, 0, 127218392, 16777216, 255
read, 0, 127183968, 16777216, 255
read, 0, 127180948, 16777216, 255
read, 0, 127178557, 16777216, 255
read, 0, 127233143, 16777216, 255
read, 0, 127181518, 16777216, 255
read, 0, 127188858, 16777216, 255
read, 0, 127217172, 16777216, 255
read, 0, 127309720, 16777216, 255
read, 0, 127226512, 16777216, 255
read, 0, 127164966, 16777216, 255
read, 0, 127209480, 16777216, 255
read, 0, 127239314, 16777216, 255
read, 0, 127229703, 16777216, 255
read, 0, 127153765, 16777216, 255
read, 0, 127214871, 16777216, 255
read, 0, 127178157, 16777216, 255
read, 0, 127229363, 16777216, 255
read, 0, 127151855, 16777216, 255
read, 0, 127162275, 16777216, 255
read, 0, 127224912, 16777216, 255
read, 0, 127212350, 16777216, 255
read, 0, 127191929, 16777216, 255
read, 0, 127185958, 16777216, 255
read, 0, 127283778, 16777216, 255
read, 0, 127334453, 16777216, 255
read, 0, 127291789, 16777216, 255
read, 0, 127191499, 16777216, 255
read, 0, 127241684, 16777216, 255
