operation, seconds, nanoseconds, bytes
read, 0, 127110770, 16777216, 255
read, 0, 127002120, 16777216, 255
read, 0, 127041193, 16777216, 255
read, 0, 127004740, 16777216, 255
read, 0, 127028922, 16777216, 255
read, 0, 127036403, 16777216, 255
read, 0, 127029512, 16777216, 255
read, 0, 127025412, 16777216, 255
read, 0, 127085598, 16777216, 255
read, 0, 126998899, 16777216, 255
read, 0, 127025983, 16777216, 255
read, 0, 127043294, 16777216, 255
read, 0, 127040084, 16777216, 255
read, 0, 127036923, 16777216, 255
read, 0, 127024862, 16777216, 255
read, 0, 126990919, 16777216, 255
read, 0, 127073677, 16777216, 255
read, 0, 127016611, 16777216, 255
read, 0, 127049655, 16777216, 255
read, 0, 126995489, 16777216, 255
read, 0, 127062306, 16777216, 255
read, 0, 127050335, 16777216, 255
read, 0, 127033543, 16777216, 255
read, 0, 126988499, 16777216, 255
read, 0, 127088849, 16777216, 255
read, 0, 127128782, 16777216, 255
read, 0, 127021902, 16777216, 255
read, 0, 127052395, 16777216, 255
read, 0, 127023042, 16777216, 255
read, 0, 127061975, 16777216, 255
read, 0, 127021332, 16777216, 255
read, 0, 126995099, 16777216, 255
read, 0, 127042283, 16777216, 255
read, 0, 126998169, 16777216, 255
read, 0, 127037793, 16777216, 255
read, 0, 126992109, 16777216, 255
read, 0, 126996459, 16777216, 255
read, 0, 127047804, 16777216, 255
read, 0, 127055375, 16777216, 255
read, 0, 127029712, 16777216, 255
read, 0, 127042904, 16777216, 255
read, 0, 127002900, 16777216, 255
read, 0, 127047015, 16777216, 255
read, 0, 127014101, 16777216, 255
read, 0, 127023682, 16777216, 255
read, 0, 127056175, 16777216, 255
read, 0, 127040194, 16777216, 255
read, 0, 127022412, 16777216, 255
read, 0, 127037774, 16777216, 255
read, 0, 126987148, 16777216, 255
read, 0, 127043824, 16777216, 255
read, 0, 126993379, 16777216, 255
read, 0, 127031433, 16777216, 255
read, 0, 127024271, 16777216, 255
read, 0, 127027282, 16777216, 255
read, 0, 127040263, 16777216, 255
read, 0, 127043203, 16777216, 255
read, 0, 126981288, 16777216, 255
read, 0, 127039783, 16777216, 255
read, 0, 127000640, 16777216, 255
read, 0, 127025962, 16777216, 255
read, 0, 127043404, 16777216, 255
read, 0, 127024102, 16777216, 255
read, 0, 127002520, 16777216, 255
read, 0, 127045894, 16777216, 255
read, 0, 127017421, 16777216, 255
read, 0, 127032992, 16777216, 255
read, 0, 127021391, 16777216, 255
read, 0, 127035733, 16777216, 255
read, 0, 127028453, 16777216, 255
read, 0, 127059926, 16777216, 255
read, 0, 127064256, 16777216, 255
read, 0, 127014421, 16777216, 255
read, 0, 127004890, 16777216, 255
read, 0, 127014511, 16777216, 255
read, 0, 127021111, 16777216, 255
read, 0, 127000239, 16777216, 255
read, 0, 127032682, 16777216, 255
read, 0, 127022332, 16777216, 255
read, 0, 127058915, 16777216, 255
read, 0, 126990548, 16777216, 255
read, 0, 127033033, 16777216, 255
read, 0, 126980498, 16777216, 255
read, 0, 127061506, 16777216, 255
read, 0, 127010171, 16777216, 255
read, 0, 127036593, 16777216, 255
read, 0, 127032893, 16777216, 255
read, 0, 127070286, 16777216, 255
read, 0, 127020862, 16777216, 255
read, 0, 127037733, 16777216, 255
read, 0, 126998209, 16777216, 255
read, 0, 127019822, 16777216, 255
read, 0, 127021762, 16777216, 255
read, 0, 127019811, 16777216, 255
read, 0, 127060866, 16777216, 255
read, 0, 127016881, 16777216, 255
read, 0, 126998369, 16777216, 255
read, 0, 127033843, 16777216, 255
read, 0, 126998490, 16777216, 255
read, 0, 127013841, 16777216, 255
