operation, contention, seconds, nanoseconds, bytes, iterations
write, 1, 0, 268067, 131072, 8192
write, 1, 0, 272078, 131072, 8192
write, 1, 0, 270217, 131072, 8192
write, 1, 0, 268957, 131072, 8192
write, 1, 0, 270627, 131072, 8192
write, 1, 0, 270537, 131072, 8192
write, 1, 0, 270417, 131072, 8192
write, 1, 0, 270097, 131072, 8192
write, 1, 0, 271627, 131072, 8192
write, 1, 0, 269667, 131072, 8192
write, 1, 0, 271787, 131072, 8192
write, 1, 0, 271387, 131072, 8192
write, 1, 0, 268387, 131072, 8192
write, 1, 0, 270657, 131072, 8192
write, 1, 0, 269867, 131072, 8192
write, 1, 0, 270427, 131072, 8192
write, 1, 0, 268147, 131072, 8192
write, 1, 0, 269757, 131072, 8192
write, 1, 0, 270237, 131072, 8192
write, 1, 0, 270157, 131072, 8192
write, 1, 0, 272507, 131072, 8192
write, 1, 0, 269757, 131072, 8192
write, 1, 0, 275087, 131072, 8192
write, 1, 0, 269737, 131072, 8192
write, 1, 0, 271118, 131072, 8192
write, 1, 0, 274837, 131072, 8192
write, 1, 0, 271407, 131072, 8192
write, 1, 0, 267987, 131072, 8192
write, 1, 0, 270137, 131072, 8192
write, 1, 0, 270167, 131072, 8192
write, 1, 0, 272048, 131072, 8192
write, 1, 0, 269827, 131072, 8192
write, 1, 0, 271357, 131072, 8192
write, 1, 0, 272057, 131072, 8192
write, 1, 0, 269877, 131072, 8192
write, 1, 0, 271557, 131072, 8192
write, 1, 0, 274398, 131072, 8192
write, 1, 0, 270697, 131072, 8192
write, 1, 0, 270967, 131072, 8192
write, 1, 0, 268177, 131072, 8192
write, 1, 0, 272107, 131072, 8192
write, 1, 0, 271927, 131072, 8192
write, 2, 0, 404220, 131072, 8192
write, 2, 0, 399520, 131072, 8192
write, 2, 0, 403020, 131072, 8192
write, 2, 0, 407091, 131072, 8192
write, 2, 0, 382778, 131072, 8192
write, 2, 0, 406560, 131072, 8192
write, 2, 0, 401300, 131072, 8192
write, 2, 0, 405410, 131072, 8192
write, 2, 0, 398810, 131072, 8192
write, 2, 0, 402750, 131072, 8192
write, 2, 0, 403131, 131072, 8192
write, 2, 0, 403780, 131072, 8192
write, 2, 0, 404221, 131072, 8192
write, 2, 0, 407501, 131072, 8192
write, 2, 0, 408971, 131072, 8192
write, 2, 0, 403350, 131072, 8192
write, 2, 0, 399400, 131072, 8192
write, 2, 0, 398180, 131072, 8192
write, 2, 0, 402590, 131072, 8192
write, 2, 0, 400250, 131072, 8192
write, 2, 0, 422332, 131072, 8192
write, 2, 0, 401140, 131072, 8192
write, 2, 0, 402751, 131072, 8192
write, 2, 0, 406060, 131072, 8192
write, 2, 0, 406510, 131072, 8192
write, 2, 0, 402010, 131072, 8192
write, 2, 0, 396970, 131072, 8192
write, 2, 0, 402720, 131072, 8192
write, 2, 0, 399930, 131072, 8192
write, 2, 0, 404170, 131072, 8192
write, 2, 0, 398400, 131072, 8192
write, 2, 0, 406261, 131072, 8192
write, 2, 0, 402790, 131072, 8192
write, 2, 0, 407020, 131072, 8192
write, 2, 0, 399059, 131072, 8192
write, 2, 0, 401130, 131072, 8192
write, 2, 0, 402070, 131072, 8192
write, 2, 0, 401011, 131072, 8192
write, 2, 0, 401880, 131072, 8192
write, 2, 0, 401600, 131072, 8192
write, 2, 0, 400630, 131072, 8192
write, 2, 0, 402720, 131072, 8192
