operation, contention, priorities, seconds, nanoseconds, bytes
write, 0, 4395019, 1048576
write, 0, 5368416, 1048576
write, 0, 4909111, 1048576
write, 0, 4971087, 1048576
write, 0, 5121111, 1048576
write, 0, 4931663, 1048576
write, 0, 4725742, 1048576
write, 0, 4892978, 1048576
write, 0, 4907461, 1048576
write, 0, 4876738, 1048576
write, 0, 4785598, 1048576
write, 0, 5181038, 1048576
write, 0, 5025212, 1048576
write, 0, 4889478, 1048576
write, 0, 4885738, 1048576
write, 0, 4822882, 1048576
write, 0, 4747944, 1048576
write, 0, 4991189, 1048576
write, 0, 4893689, 1048576
write, 0, 4917541, 1048576
write, 0, 4879487, 1048576
write, 0, 5177657, 1048576
write, 0, 4855145, 1048576
write, 0, 4799849, 1048576
write, 0, 4775888, 1048576
write, 0, 4965776, 1048576
write, 0, 4876718, 1048576
write, 0, 4708701, 1048576
write, 0, 4909531, 1048576
write, 0, 4878968, 1048576
write, 0, 4974607, 1048576
write, 0, 4877497, 1048576
write, 0, 4970336, 1048576
write, 0, 4919142, 1048576
write, 0, 5045684, 1048576
write, 0, 4877617, 1048576
write, 0, 4771977, 1048576
write, 0, 4887398, 1048576
write, 0, 4714001, 1048576
write, 0, 4995049, 1048576
write, 0, 4882968, 1048576
write, 0, 5056465, 1048576
write, 0, 4822672, 1048576
write, 0, 4849555, 1048576
write, 0, 4888949, 1048576
write, 0, 4883257, 1048576
write, 0, 4706261, 1048576
write, 0, 4845724, 1048576
write, 0, 4864036, 1048576
write, 0, 4866016, 1048576
write, 0, 4805280, 1048576
write, 0, 4788669, 1048576
write, 0, 5118642, 1048576
write, 0, 4992969, 1048576
write, 0, 4908561, 1048576
write, 0, 4880848, 1048576
write, 0, 4965266, 1048576
write, 0, 4854135, 1048576
write, 0, 4814642, 1048576
write, 0, 4892729, 1048576
write, 0, 4987758, 1048576
write, 0, 4895209, 1048576
write, 0, 5002270, 1048576
write, 0, 4865476, 1048576
write, 0, 4991459, 1048576
write, 0, 5329272, 1048576
write, 0, 4738253, 1048576
write, 0, 4885228, 1048576
write, 0, 4983768, 1048576
write, 0, 4892599, 1048576
write, 0, 4884898, 1048576
write, 0, 4805060, 1048576
write, 0, 5057185, 1048576
write, 0, 4862055, 1048576
write, 0, 5005480, 1048576
write, 0, 4888539, 1048576
write, 0, 4920702, 1048576
write, 0, 5000350, 1048576
write, 0, 4826233, 1048576
write, 0, 4872577, 1048576
write, 0, 4905910, 1048576
write, 0, 4954055, 1048576
write, 0, 4917141, 1048576
write, 0, 4868096, 1048576
write, 0, 4910980, 1048576
write, 0, 5008140, 1048576
write, 0, 4863776, 1048576
write, 0, 4867127, 1048576
write, 0, 4695479, 1048576
write, 0, 4892969, 1048576
write, 0, 4996249, 1048576
write, 0, 4838643, 1048576
write, 0, 5034994, 1048576
write, 0, 4884638, 1048576
write, 0, 4847925, 1048576
write, 0, 5006401, 1048576
write, 0, 4886058, 1048576
write, 0, 4901890, 1048576
write, 0, 5012891, 1048576
write, 0, 4879108, 1048576
write, 0, 4790609, 1048576
write, 0, 4881958, 1048576
write, 0, 5205130, 1048576
write, 0, 4810541, 1048576
write, 0, 4716161, 1048576
write, 0, 4893329, 1048576
write, 0, 4922232, 1048576
write, 0, 4961925, 1048576
write, 0, 4878608, 1048576
write, 0, 4892739, 1048576
write, 0, 4874237, 1048576
write, 0, 5036143, 1048576
write, 0, 4858326, 1048576
write, 0, 4830333, 1048576
write, 0, 4888988, 1048576
write, 0, 4978768, 1048576
write, 0, 5062556, 1048576
write, 0, 4894619, 1048576
write, 0, 4678207, 1048576
write, 0, 5016421, 1048576
write, 0, 4883068, 1048576
write, 0, 4909570, 1048576
write, 0, 4849864, 1048576
write, 0, 5169237, 1048576
write, 0, 4891549, 1048576
write, 0, 4861976, 1048576
write, 0, 4724202, 1048576
