benchamrk, data-size, run, duration
texture_synthesis, vga, 2, 31261622
texture_synthesis, vga, 3, 31331578
texture_synthesis, vga, 4, 31248021
texture_synthesis, vga, 5, 31266815
tracking, cif, 1, 34920147
tracking, cif, 2, 34900316
tracking, cif, 3, 34940474
tracking, cif, 4, 34913380
tracking, cif, 5, 34804778
tracking, qcif, 1, 8647120
tracking, qcif, 2, 8721853
tracking, qcif, 3, 8661485
tracking, qcif, 4, 8676953
tracking, qcif, 5, 8673734
tracking, sim, 1, 563473
tracking, sim, 2, 591495
tracking, sim, 3, 550750
tracking, sim, 4, 644868
tracking, sim, 5, 587916
tracking, sim_fast, 1, 242640
tracking, sim_fast, 2, 242989
tracking, sim_fast, 3, 242015
tracking, sim_fast, 4, 246584
tracking, sim_fast, 5, 243666
tracking, sqcif, 1, 3153100
tracking, sqcif, 2, 3155755
tracking, sqcif, 3, 3163700
tracking, sqcif, 4, 3112782
tracking, sqcif, 5, 3121104
tracking, vga, 1, 104800790
tracking, vga, 2, 105031092
tracking, vga, 3, 104932786
tracking, vga, 4, 105068013
tracking, vga, 5, 105114368
