operation, seconds, nanoseconds, bytes
read, 0, 27647902, 16777216
read, 0, 29997887, 16777216
read, 0, 27651153, 16777216
read, 0, 29078355, 16777216
read, 0, 27475076, 16777216
read, 0, 27490576, 16777216
read, 0, 27552083, 16777216
read, 0, 27489907, 16777216
read, 0, 28064024, 16777216
read, 0, 27485027, 16777216
read, 0, 27507849, 16777216
read, 0, 28700677, 16777216
read, 0, 30660684, 16777216
read, 0, 28664994, 16777216
read, 0, 28670094, 16777216
read, 0, 27515790, 16777216
read, 0, 27469465, 16777216
read, 0, 27877965, 16777216
read, 0, 28698408, 16777216
read, 0, 27593968, 16777216
read, 0, 28743562, 16777216
read, 0, 27480566, 16777216
read, 0, 27549133, 16777216
read, 0, 27486797, 16777216
read, 0, 27543142, 16777216
read, 0, 31805988, 16777216
read, 0, 27526091, 16777216
read, 0, 27464254, 16777216
read, 0, 27498417, 16777216
read, 0, 27594627, 16777216
read, 0, 27467564, 16777216
read, 0, 28734811, 16777216
read, 0, 27487137, 16777216
read, 0, 29299228, 16777216
read, 0, 29813249, 16777216
read, 0, 28152753, 16777216
read, 0, 28175425, 16777216
read, 0, 28682516, 16777216
read, 0, 27525400, 16777216
read, 0, 27460704, 16777216
read, 0, 27526640, 16777216
read, 0, 27484336, 16777216
read, 0, 28677345, 16777216
read, 0, 27605818, 16777216
read, 0, 27516460, 16777216
read, 0, 27510159, 16777216
read, 0, 27528231, 16777216
read, 0, 27490937, 16777216
read, 0, 27506709, 16777216
read, 0, 28441952, 16777216
read, 0, 27593487, 16777216
read, 0, 27629050, 16777216
read, 0, 27488087, 16777216
read, 0, 27488866, 16777216
read, 0, 31711308, 16777216
read, 0, 27533251, 16777216
read, 0, 27489897, 16777216
read, 0, 27481356, 16777216
read, 0, 27533871, 16777216
read, 0, 27546753, 16777216
read, 0, 27488597, 16777216
read, 0, 30315459, 16777216
read, 0, 27492117, 16777216
read, 0, 27551523, 16777216
read, 0, 27543983, 16777216
read, 0, 27641022, 16777216
read, 0, 28776975, 16777216
read, 0, 27660594, 16777216
read, 0, 27449733, 16777216
read, 0, 27486117, 16777216
read, 0, 27505219, 16777216
read, 0, 27602268, 16777216
read, 0, 27488197, 16777216
read, 0, 28114719, 16777216
read, 0, 27547062, 16777216
read, 0, 27460544, 16777216
read, 0, 29521670, 16777216
read, 0, 28768884, 16777216
read, 0, 30116880, 16777216
read, 0, 27624671, 16777216
read, 0, 27974596, 16777216
read, 0, 28398308, 16777216
read, 0, 27470024, 16777216
read, 0, 27561984, 16777216
read, 0, 28692667, 16777216
read, 0, 27487646, 16777216
read, 0, 27520910, 16777216
read, 0, 27482966, 16777216
read, 0, 28713819, 16777216
read, 0, 28767295, 16777216
read, 0, 27497498, 16777216
read, 0, 27980945, 16777216
read, 0, 27525390, 16777216
read, 0, 27470325, 16777216
read, 0, 29403928, 16777216
read, 0, 29382766, 16777216
read, 0, 27512889, 16777216
read, 0, 28516230, 16777216
read, 0, 27516210, 16777216
read, 0, 27576145, 16777216
