operation, seconds, nanoseconds, bytes
read, 0, 40313248, 16777216
read, 0, 40994346, 16777216
read, 0, 44311898, 16777216
read, 0, 39230410, 16777216
read, 0, 43459902, 16777216
read, 0, 41432160, 16777216
read, 0, 44081774, 16777216
read, 0, 43208077, 16777216
read, 0, 44426389, 16777216
read, 0, 42257793, 16777216
read, 0, 41349582, 16777216
read, 0, 42049091, 16777216
read, 0, 38842991, 16777216
read, 0, 42935440, 16777216
read, 0, 41655732, 16777216
read, 0, 43728469, 16777216
read, 0, 42726629, 16777216
read, 0, 40276464, 16777216
read, 0, 44746341, 16777216
read, 0, 41879304, 16777216
read, 0, 42863883, 16777216
read, 0, 41911797, 16777216
read, 0, 41254983, 16777216
read, 0, 39894296, 16777216
read, 0, 44483064, 16777216
read, 0, 42562783, 16777216
read, 0, 39723119, 16777216
read, 0, 40728599, 16777216
read, 0, 41507157, 16777216
read, 0, 38801227, 16777216
read, 0, 42061393, 16777216
read, 0, 41126509, 16777216
read, 0, 40517579, 16777216
read, 0, 41906647, 16777216
read, 0, 43930879, 16777216
read, 0, 45578874, 16777216
read, 0, 42269854, 16777216
read, 0, 41048831, 16777216
read, 0, 42626869, 16777216
read, 0, 40157443, 16777216
read, 0, 41702697, 16777216
read, 0, 42967713, 16777216
read, 0, 43899227, 16777216
read, 0, 41755052, 16777216
read, 0, 40161813, 16777216
read, 0, 42167953, 16777216
read, 0, 43995336, 16777216
read, 0, 42349852, 16777216
read, 0, 42396097, 16777216
read, 0, 43170413, 16777216
read, 0, 39567784, 16777216
read, 0, 38259212, 16777216
read, 0, 40521599, 16777216
read, 0, 40398446, 16777216
read, 0, 42543640, 16777216
read, 0, 40354923, 16777216
read, 0, 40636330, 16777216
read, 0, 41647431, 16777216
read, 0, 39426509, 16777216
read, 0, 40702666, 16777216
read, 0, 43821598, 16777216
read, 0, 45707797, 16777216
read, 0, 42637190, 16777216
read, 0, 41712448, 16777216
read, 0, 38312118, 16777216
read, 0, 39210038, 16777216
read, 0, 42001417, 16777216
read, 0, 43959962, 16777216
read, 0, 40406687, 16777216
read, 0, 42704166, 16777216
read, 0, 42999407, 16777216
read, 0, 43229800, 16777216
read, 0, 43507147, 16777216
read, 0, 42309757, 16777216
read, 0, 40111728, 16777216
read, 0, 42409787, 16777216
read, 0, 41021729, 16777216
read, 0, 41953802, 16777216
read, 0, 44240221, 16777216
read, 0, 44513428, 16777216
read, 0, 40708967, 16777216
read, 0, 41621209, 16777216
read, 0, 42957862, 16777216
read, 0, 44257442, 16777216
read, 0, 43803937, 16777216
read, 0, 41923849, 16777216
read, 0, 38969754, 16777216
read, 0, 44534629, 16777216
read, 0, 41575354, 16777216
read, 0, 43556132, 16777216
read, 0, 43087975, 16777216
read, 0, 41462633, 16777216
read, 0, 40861572, 16777216
read, 0, 44017338, 16777216
read, 0, 42323359, 16777216
read, 0, 43825359, 16777216
read, 0, 40857562, 16777216
read, 0, 46334600, 16777216
read, 0, 44348351, 16777216
read, 0, 40845451, 16777216
