operation, contention, seconds, nanoseconds, bytes, iterations
write, 1, 0, 1960486, 2097152, 131072
write, 1, 0, 1988859, 2097152, 131072
write, 1, 0, 2066496, 2097152, 131072
write, 1, 0, 1987399, 2097152, 131072
write, 1, 0, 1944664, 2097152, 131072
write, 1, 0, 1894170, 2097152, 131072
write, 1, 0, 1908871, 2097152, 131072
write, 1, 0, 1880228, 2097152, 131072
write, 1, 0, 1908101, 2097152, 131072
write, 1, 0, 1889439, 2097152, 131072
write, 1, 0, 1911452, 2097152, 131072
write, 1, 0, 1894760, 2097152, 131072
write, 1, 0, 1911201, 2097152, 131072
write, 1, 0, 1884088, 2097152, 131072
write, 1, 0, 1883178, 2097152, 131072
write, 1, 0, 1913401, 2097152, 131072
write, 1, 0, 1884098, 2097152, 131072
write, 1, 0, 1960286, 2097152, 131072
write, 1, 0, 1883519, 2097152, 131072
write, 1, 0, 1955736, 2097152, 131072
write, 1, 0, 1993209, 2097152, 131072
write, 1, 0, 2052305, 2097152, 131072
write, 1, 0, 2017502, 2097152, 131072
write, 1, 0, 1954425, 2097152, 131072
write, 1, 0, 1896380, 2097152, 131072
write, 1, 0, 1936074, 2097152, 131072
write, 1, 0, 1889249, 2097152, 131072
write, 1, 0, 1915452, 2097152, 131072
write, 1, 0, 1892669, 2097152, 131072
write, 1, 0, 1907691, 2097152, 131072
write, 1, 0, 1873917, 2097152, 131072
write, 1, 0, 1906591, 2097152, 131072
write, 1, 0, 1885029, 2097152, 131072
write, 1, 0, 1915571, 2097152, 131072
write, 1, 0, 1894790, 2097152, 131072
write, 1, 0, 1919032, 2097152, 131072
write, 1, 0, 1884579, 2097152, 131072
write, 1, 0, 1900950, 2097152, 131072
write, 1, 0, 1883569, 2097152, 131072
write, 1, 0, 1904971, 2097152, 131072
write, 1, 0, 1896870, 2097152, 131072
write, 1, 0, 1893620, 2097152, 131072
write, 1, 0, 1898250, 2097152, 131072
write, 1, 0, 1958276, 2097152, 131072
write, 1, 0, 1950585, 2097152, 131072
write, 1, 0, 1885158, 2097152, 131072
write, 1, 0, 1908331, 2097152, 131072
write, 1, 0, 1876507, 2097152, 131072
write, 1, 0, 1911271, 2097152, 131072
write, 1, 0, 1883579, 2097152, 131072
write, 1, 0, 1918802, 2097152, 131072
write, 1, 0, 1883588, 2097152, 131072
write, 1, 0, 1914652, 2097152, 131072
write, 1, 0, 1892470, 2097152, 131072
write, 1, 0, 1904491, 2097152, 131072
write, 1, 0, 1882198, 2097152, 131072
write, 2, 0, 3045874, 2097152, 131072
write, 2, 0, 2938383, 2097152, 131072
write, 2, 0, 3027793, 2097152, 131072
write, 2, 0, 2935124, 2097152, 131072
write, 2, 0, 2912111, 2097152, 131072
write, 2, 0, 2916872, 2097152, 131072
write, 2, 0, 2945144, 2097152, 131072
write, 2, 0, 3000780, 2097152, 131072
write, 2, 0, 2972887, 2097152, 131072
write, 2, 0, 2907251, 2097152, 131072
write, 2, 0, 2851865, 2097152, 131072
write, 2, 0, 2889549, 2097152, 131072
write, 2, 0, 2881408, 2097152, 131072
write, 2, 0, 2845235, 2097152, 131072
write, 2, 0, 2895929, 2097152, 131072
write, 2, 0, 2888039, 2097152, 131072
write, 2, 0, 2888689, 2097152, 131072
write, 2, 0, 2856466, 2097152, 131072
write, 2, 0, 2887679, 2097152, 131072
write, 2, 0, 2982838, 2097152, 131072
write, 2, 0, 2957116, 2097152, 131072
write, 2, 0, 2903341, 2097152, 131072
write, 2, 0, 2893269, 2097152, 131072
write, 2, 0, 2918912, 2097152, 131072
write, 2, 0, 2868297, 2097152, 131072
write, 2, 0, 2886259, 2097152, 131072
write, 2, 0, 2893209, 2097152, 131072
write, 2, 0, 2867887, 2097152, 131072
write, 2, 0, 2875628, 2097152, 131072
write, 2, 0, 2920182, 2097152, 131072
write, 2, 0, 3006470, 2097152, 131072
write, 2, 0, 2879188, 2097152, 131072
write, 2, 0, 2769757, 2097152, 131072
write, 2, 0, 2878538, 2097152, 131072
write, 2, 0, 2882778, 2097152, 131072
write, 2, 0, 2841214, 2097152, 131072
write, 2, 0, 2949434, 2097152, 131072
write, 2, 0, 2896510, 2097152, 131072
write, 2, 0, 2894019, 2097152, 131072
write, 2, 0, 2938364, 2097152, 131072
write, 2, 0, 2975898, 2097152, 131072
write, 2, 0, 3024922, 2097152, 131072
write, 2, 0, 2910791, 2097152, 131072
write, 2, 0, 2893420, 2097152, 131072
write, 2, 0, 2886458, 2097152, 131072
write, 2, 0, 2879178, 2097152, 131072
write, 2, 0, 2883698, 2097152, 131072
write, 2, 0, 2952805, 2097152, 131072
write, 2, 0, 2940054, 2097152, 131072
write, 2, 0, 3000060, 2097152, 131072
write, 2, 0, 2888858, 2097152, 131072
write, 2, 0, 2909811, 2097152, 131072
write, 2, 0, 2884718, 2097152, 131072
write, 2, 0, 2933584, 2097152, 131072
write, 2, 0, 2864136, 2097152, 131072
write, 2, 0, 2874578, 2097152, 131072
write, 2, 0, 2876478, 2097152, 131072
write, 2, 0, 2866967, 2097152, 131072
write, 2, 0, 2892040, 2097152, 131072
write, 2, 0, 2910651, 2097152, 131072
write, 2, 0, 2886169, 2097152, 131072
write, 2, 0, 2899900, 2097152, 131072
write, 2, 0, 2950455, 2097152, 131072
write, 2, 0, 2984218, 2097152, 131072
write, 2, 0, 2910431, 2097152, 131072
write, 2, 0, 2897859, 2097152, 131072
write, 2, 0, 2910101, 2097152, 131072
write, 2, 0, 2894089, 2097152, 131072
write, 2, 0, 2900550, 2097152, 131072
write, 2, 0, 2946625, 2097152, 131072
write, 2, 0, 3005780, 2097152, 131072
write, 2, 0, 2962087, 2097152, 131072
write, 2, 0, 2850705, 2097152, 131072
write, 2, 0, 2885709, 2097152, 131072
write, 2, 0, 2893919, 2097152, 131072
write, 2, 0, 2885939, 2097152, 131072
write, 2, 0, 2848075, 2097152, 131072
write, 2, 0, 2871617, 2097152, 131072
write, 2, 0, 2887999, 2097152, 131072
write, 2, 0, 2882898, 2097152, 131072
write, 2, 0, 2857236, 2097152, 131072
write, 2, 0, 2886399, 2097152, 131072
write, 2, 0, 2879548, 2097152, 131072
write, 2, 0, 2860616, 2097152, 131072
write, 2, 0, 2912781, 2097152, 131072
write, 2, 0, 2962336, 2097152, 131072
write, 2, 0, 3075018, 2097152, 131072
write, 2, 0, 2894189, 2097152, 131072
write, 2, 0, 3030543, 2097152, 131072
write, 2, 0, 2969087, 2097152, 131072
write, 2, 0, 2972627, 2097152, 131072
write, 2, 0, 2887819, 2097152, 131072
write, 2, 0, 2881948, 2097152, 131072
write, 2, 0, 2878248, 2097152, 131072
write, 2, 0, 2907801, 2097152, 131072
write, 2, 0, 2855786, 2097152, 131072
write, 2, 0, 2893709, 2097152, 131072
write, 2, 0, 2865697, 2097152, 131072
write, 2, 0, 2841894, 2097152, 131072
write, 2, 0, 2877398, 2097152, 131072
write, 3, 0, 4467347, 2097152, 131072
write, 3, 0, 4056595, 2097152, 131072
write, 3, 0, 4084038, 2097152, 131072
write, 3, 0, 4096960, 2097152, 131072
write, 3, 0, 4181298, 2097152, 131072
write, 3, 0, 4035814, 2097152, 131072
write, 3, 0, 4072847, 2097152, 131072
write, 3, 0, 4098249, 2097152, 131072
write, 3, 0, 4237844, 2097152, 131072
write, 3, 0, 4042944, 2097152, 131072
write, 3, 0, 4102360, 2097152, 131072
write, 3, 0, 4094069, 2097152, 131072
write, 3, 0, 4067777, 2097152, 131072
write, 3, 0, 4063227, 2097152, 131072
write, 3, 0, 4087778, 2097152, 131072
write, 3, 0, 4073858, 2097152, 131072
write, 3, 0, 4045705, 2097152, 131072
write, 3, 0, 4058946, 2097152, 131072
write, 3, 0, 4060066, 2097152, 131072
write, 3, 0, 4021142, 2097152, 131072
write, 3, 0, 4167777, 2097152, 131072
write, 3, 0, 4044215, 2097152, 131072
write, 3, 0, 4035643, 2097152, 131072
write, 3, 0, 4024302, 2097152, 131072
write, 3, 0, 4041554, 2097152, 131072
write, 3, 0, 4042344, 2097152, 131072
write, 3, 0, 4030353, 2097152, 131072
write, 3, 0, 4032493, 2097152, 131072
write, 3, 0, 4034273, 2097152, 131072
write, 3, 0, 4047055, 2097152, 131072
write, 3, 0, 4064956, 2097152, 131072
write, 3, 0, 4073627, 2097152, 131072
write, 3, 0, 4103581, 2097152, 131072
write, 3, 0, 4266307, 2097152, 131072
write, 3, 0, 4212452, 2097152, 131072
write, 3, 0, 4200310, 2097152, 131072
write, 3, 0, 4157666, 2097152, 131072
write, 3, 0, 4114572, 2097152, 131072
write, 3, 0, 4078498, 2097152, 131072
write, 3, 0, 4053495, 2097152, 131072
write, 3, 0, 4059856, 2097152, 131072
write, 3, 0, 4098710, 2097152, 131072
write, 3, 0, 4103821, 2097152, 131072
write, 3, 0, 4091689, 2097152, 131072
write, 3, 0, 4055575, 2097152, 131072
write, 3, 0, 4267947, 2097152, 131072
write, 3, 0, 4161016, 2097152, 131072
write, 3, 0, 4081448, 2097152, 131072
write, 3, 0, 4154315, 2097152, 131072
write, 3, 0, 4118111, 2097152, 131072
write, 3, 0, 4051845, 2097152, 131072
write, 3, 0, 3981528, 2097152, 131072
write, 3, 0, 4047185, 2097152, 131072
write, 3, 0, 4041364, 2097152, 131072
write, 3, 0, 4031953, 2097152, 131072
write, 3, 0, 4050005, 2097152, 131072
write, 3, 0, 4035504, 2097152, 131072
write, 3, 0, 4201790, 2097152, 131072
write, 3, 0, 4119832, 2097152, 131072
write, 3, 0, 4127213, 2097152, 131072
write, 3, 0, 4122922, 2097152, 131072
write, 3, 0, 4107021, 2097152, 131072
write, 3, 0, 4051705, 2097152, 131072
write, 3, 0, 4044765, 2097152, 131072
write, 3, 0, 4054466, 2097152, 131072
write, 3, 0, 4034113, 2097152, 131072
write, 3, 0, 4047334, 2097152, 131072
write, 3, 0, 4059896, 2097152, 131072
write, 3, 0, 4063836, 2097152, 131072
write, 3, 0, 4256296, 2097152, 131072
write, 3, 0, 4132033, 2097152, 131072
write, 3, 0, 4216791, 2097152, 131072
write, 3, 0, 4353175, 2097152, 131072
write, 3, 0, 4247815, 2097152, 131072
write, 3, 0, 4201200, 2097152, 131072
write, 3, 0, 4120142, 2097152, 131072
write, 3, 0, 4068036, 2097152, 131072
write, 3, 0, 4115531, 2097152, 131072
write, 3, 0, 4154255, 2097152, 131072
write, 3, 0, 4079938, 2097152, 131072
write, 3, 0, 4198430, 2097152, 131072
write, 3, 0, 4325192, 2097152, 131072
write, 3, 0, 4171477, 2097152, 131072
write, 3, 0, 4118992, 2097152, 131072
write, 3, 0, 4162576, 2097152, 131072
write, 3, 0, 4166356, 2097152, 131072
write, 3, 0, 4157796, 2097152, 131072
write, 3, 0, 4139134, 2097152, 131072
write, 3, 0, 4166197, 2097152, 131072
write, 3, 0, 4124472, 2097152, 131072
write, 3, 0, 4086028, 2097152, 131072
write, 3, 0, 4077638, 2097152, 131072
write, 3, 0, 4074607, 2097152, 131072
write, 3, 0, 4264196, 2097152, 131072
write, 3, 0, 4045494, 2097152, 131072
write, 3, 0, 4020162, 2097152, 131072
write, 3, 0, 4035043, 2097152, 131072
write, 3, 0, 4043714, 2097152, 131072
write, 3, 0, 4055736, 2097152, 131072
write, 3, 0, 4061056, 2097152, 131072
