operation, contention, seconds, nanoseconds, bytes, iterations
write, 1, 0, 450235, 131072, 8192
write, 1, 0, 453566, 131072, 8192
write, 1, 0, 451425, 131072, 8192
write, 1, 0, 446605, 131072, 8192
write, 1, 0, 449705, 131072, 8192
write, 1, 0, 454346, 131072, 8192
write, 1, 0, 453725, 131072, 8192
write, 1, 0, 459156, 131072, 8192
write, 1, 0, 452975, 131072, 8192
write, 1, 0, 447725, 131072, 8192
write, 1, 0, 450355, 131072, 8192
write, 1, 0, 449584, 131072, 8192
write, 1, 0, 453455, 131072, 8192
write, 1, 0, 447495, 131072, 8192
write, 1, 0, 446425, 131072, 8192
write, 1, 0, 449715, 131072, 8192
write, 1, 0, 462037, 131072, 8192
write, 1, 0, 448385, 131072, 8192
write, 1, 0, 445684, 131072, 8192
write, 1, 0, 445714, 131072, 8192
write, 1, 0, 449855, 131072, 8192
write, 1, 0, 448274, 131072, 8192
write, 1, 0, 452915, 131072, 8192
write, 1, 0, 450215, 131072, 8192
write, 1, 0, 449045, 131072, 8192
write, 1, 0, 452375, 131072, 8192
write, 1, 0, 458516, 131072, 8192
write, 1, 0, 447065, 131072, 8192
write, 1, 0, 450625, 131072, 8192
write, 1, 0, 448605, 131072, 8192
write, 1, 0, 450695, 131072, 8192
write, 1, 0, 446164, 131072, 8192
write, 1, 0, 449745, 131072, 8192
write, 1, 0, 448315, 131072, 8192
write, 1, 0, 452335, 131072, 8192
write, 1, 0, 448025, 131072, 8192
write, 1, 0, 452215, 131072, 8192
write, 1, 0, 444294, 131072, 8192
write, 1, 0, 447445, 131072, 8192
write, 1, 0, 444565, 131072, 8192
write, 1, 0, 444144, 131072, 8192
write, 1, 0, 447294, 131072, 8192
write, 2, 0, 675168, 131072, 8192
write, 2, 0, 672848, 131072, 8192
write, 2, 0, 663576, 131072, 8192
write, 2, 0, 625792, 131072, 8192
write, 2, 0, 659575, 131072, 8192
write, 2, 0, 672467, 131072, 8192
write, 2, 0, 681948, 131072, 8192
write, 2, 0, 668326, 131072, 8192
write, 2, 0, 679958, 131072, 8192
write, 2, 0, 678138, 131072, 8192
write, 2, 0, 655766, 131072, 8192
write, 2, 0, 665976, 131072, 8192
write, 2, 0, 672587, 131072, 8192
write, 2, 0, 666977, 131072, 8192
write, 2, 0, 679458, 131072, 8192
write, 2, 0, 677708, 131072, 8192
write, 2, 0, 673318, 131072, 8192
write, 2, 0, 674447, 131072, 8192
write, 2, 0, 676617, 131072, 8192
write, 2, 0, 675128, 131072, 8192
write, 2, 0, 674828, 131072, 8192
write, 2, 0, 668217, 131072, 8192
write, 2, 0, 669247, 131072, 8192
write, 2, 0, 673337, 131072, 8192
write, 2, 0, 671167, 131072, 8192
write, 2, 0, 673547, 131072, 8192
write, 2, 0, 652755, 131072, 8192
write, 2, 0, 669827, 131072, 8192
write, 2, 0, 670787, 131072, 8192
write, 2, 0, 669127, 131072, 8192
write, 2, 0, 669137, 131072, 8192
write, 2, 0, 665447, 131072, 8192
write, 2, 0, 657485, 131072, 8192
write, 2, 0, 674357, 131072, 8192
write, 2, 0, 667757, 131072, 8192
write, 2, 0, 668067, 131072, 8192
write, 2, 0, 676608, 131072, 8192
write, 2, 0, 661647, 131072, 8192
write, 2, 0, 675317, 131072, 8192
write, 2, 0, 668836, 131072, 8192
write, 2, 0, 666086, 131072, 8192
write, 2, 0, 653085, 131072, 8192
write, 2, 0, 659236, 131072, 8192
write, 2, 0, 682248, 131072, 8192
